price,price_per_sqft,area,bedRoom,bathroom,floorNum
0.24,5333.0,450.0,2,2,2.0
11.0,33951.0,3240.0,13,13,3.0
0.35,6481.0,540.0,2,2,1.0
8.5,53125.0,1600.0,12,12,4.0
6.0,22222.0,2700.0,4,4,3.0
3.5,24005.0,1458.0,3,2,2.0
0.71,10142.0,700.0,4,2,2.0
0.7,9722.0,720.0,4,3,3.0
9.5,33404.0,2844.0,9,9,3.0
9.85,29638.0,3323.0,5,5,3.0
4.0,16004.0,2499.0,3,3,2.0
0.85,8500.0,1000.0,1,1,1.0
0.9,7582.0,1187.0,2,2,3.0
4.95,20370.0,2430.0,6,5,3.0
2.5,17857.0,1400.0,5,4,1.0
4.0,29630.0,1350.0,4,4,2.0
2.45,7756.0,3159.0,4,4,3.0
3.85,15437.0,2494.0,3,3,4.0
11.75,23240.0,5056.0,5,7,3.0
1.75,6250.0,2800.0,4,4,14.0
16.0,35556.0,4500.0,6,7,3.0
0.95,7308.0,1300.0,5,3,1.0
4.35,32222.0,1350.0,5,4,3.0
9.5,23457.0,4050.0,8,8,3.0
3.6,19608.0,1836.0,8,4,3.0
4.5,25000.0,1800.0,16,16,4.0
0.7,5833.0,1200.0,3,2,1.0
4.75,20068.0,2367.0,7,5,3.0
0.58,86567.0,67.0,2,2,2.0
8.0,25543.0,3132.0,6,5,4.0
6.5,20062.0,3240.0,4,3,2.0
22.0,26667.0,8250.0,5,6,3.0
11.25,25000.0,4500.0,7,5,4.0
8.4,21000.0,4000.0,4,5,2.0
0.7,4117.0,1700.0,4,4,2.0
1.55,14720.0,1053.0,2,3,1.0
5.6,14000.0,4000.0,5,4,33.0
1.65,75000.0,220.0,9,9,1.0
15.0,33333.0,4500.0,5,5,4.0
4.25,26235.0,1620.0,10,9,4.0
10.85,38150.0,2844.0,6,6,3.0
5.51,16990.0,3243.0,3,3,4.0
7.2,22222.0,3240.0,3,3,1.0
9.0,100000.0,900.0,10,5,4.0
1.5,5000.0,3000.0,6,1,1.0
0.82,10224.0,802.0,4,4,2.0
12.0,42194.0,2844.0,4,5,4.0
2.25,25000.0,900.0,6,3,3.0
2.75,178571.0,154.0,3,3,2.0
1.15,19360.0,594.0,3,3,2.0
3.5,15555.0,2250.0,6,5,3.0
0.66,10784.0,612.0,3,2,2.0
12.5,34722.0,3600.0,4,4,2.0
0.8,8889.0,900.0,4,4,2.0
1.15,12777.0,900.0,2,2,4.0
0.9,80357.0,112.0,3,3,2.0
2.68,17213.0,1557.0,4,3,3.0
3.25,22429.0,1449.0,4,4,3.0
9.0,33333.0,2700.0,5,5,3.0
0.7,7007.0,999.0,2,3,1.0
3.4,15111.0,2250.0,3,3,1.0
3.5,15555.0,2250.0,10,1,1.0
1.1,6172.0,1782.0,8,8,1.0
2.2,12222.0,1800.0,4,3,1.0
9.4,26111.0,3600.0,5,6,2.0
6.4,20317.0,3150.0,6,6,3.0
17.0,35109.0,4842.0,5,8,3.0
0.4,8889.0,450.0,1,1,1.0
0.85,9444.0,900.0,5,3,1.0
0.65,6500.0,1000.0,6,2,1.0
8.0,230547.0,347.0,10,10,1.0
0.66,12000.0,550.0,3,1,3.0
1.18,8137.0,1450.0,3,3,2.0
10.0,400000.0,250.0,12,12,4.0
0.35,7778.0,450.0,2,2,2.0
8.5,17820.0,4770.0,5,5,3.0
1.2,13333.0,900.0,7,4,2.0
4.6,21296.0,2160.0,3,3,2.0
5.7,22634.0,2518.0,9,9,3.0
1.1,10000.0,1100.0,5,4,1.0
0.75,7820.0,959.0,2,2,1.0
1.0,74074.0,135.0,9,7,3.0
0.85,8947.0,950.0,6,6,2.0
0.3,60000.0,50.0,6,3,3.0
5.6,30556.0,1833.0,4,3,3.0
1.35,3857.0,3500.0,10,6,3.0
0.7,6648.0,1053.0,3,3,1.0
19.5,27083.0,7200.0,8,9,2.0
5.5,16975.0,3240.0,5,4,2.0
1.0,11111.0,900.0,4,3,4.0
6.25,11574.0,5400.0,4,4,2.0
